flight_number,airline_name,airline_iata,aircraft_type,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,flight_status,data_source,distance_km,passenger_capacity,load_factor,co2_per_passenger_kg,co2_per_passenger_per_km,total_co2_kg,data_extracted_at,is_domestic,efficiency_vs_industry,airline_efficiency_reported,sustainability_report_year,sustainability_data_source,altitude,velocity,flight_category,efficiency_rating
8121,Air Mauritius,MK,,BLR,DEL,2025-09-04T00:15:00+00:00,2025-09-04T02:55:00+00:00,scheduled,aviationstack_api,1702.69,180,0.7095626282914326,234.66,0.1378,29971.07,2025-09-03T23:21:11.444291,False,1.569,,,,,,Long-haul,Average
2811,Air India,AI,,BLR,BOM,2025-09-04T00:10:00+00:00,2025-09-04T02:00:00+00:00,scheduled,aviationstack_api,832.33,180,0.8384274872480434,119.22,0.1432,17992.32,2025-09-03T23:21:11.444291,False,1.631,,,,,,Medium-haul,Poor
1139,Ethiopian Airlines,ET,,BLR,BOM,2025-09-04T00:10:00+00:00,2025-09-04T02:00:00+00:00,scheduled,aviationstack_api,832.33,180,0.7468064903831879,133.85,0.1608,17992.81,2025-09-03T23:21:11.444291,False,1.831,,,,,,Medium-haul,Poor
284,Air New Zealand,NZ,,AKL,SIN,2025-09-04T10:00:00+00:00,2025-09-04T16:50:00+00:00,scheduled,aviationstack_api,8221.93,180,0.7960165067772225,886.1,0.1078,126963.04,2025-09-03T23:21:11.444291,False,1.228,,,,,,Ultra-long-haul,Good
77,Air New Zealand,NZ,,AKL,TPE,2025-09-04T09:40:00+00:00,2025-09-04T17:05:00+00:00,scheduled,aviationstack_api,5210.13,180,0.8178272365224833,577.86,0.1109,85066.14,2025-09-03T23:21:11.444291,False,1.263,,,,,,Ultra-long-haul,Good
145,Air New Zealand,NZ,,AKL,BNE,2025-09-04T09:20:00+00:00,2025-09-04T11:00:00+00:00,scheduled,aviationstack_api,2296.26,180,0.7712550844213396,289.0,0.1259,40120.69,2025-09-03T23:21:11.448954,False,1.434,,,,,,Long-haul,Average
527,Air New Zealand,NZ,,AKL,CHC,2025-09-04T09:00:00+00:00,2025-09-04T10:25:00+00:00,scheduled,aviationstack_api,744.36,180,0.768990748450367,117.49,0.1578,16262.77,2025-09-03T23:21:11.448954,False,1.797,,,,,,Medium-haul,Poor
103,Air New Zealand,NZ,,AKL,SYD,2025-09-04T09:00:00+00:00,2025-09-04T10:35:00+00:00,scheduled,aviationstack_api,2163.92,180,0.7924115256244878,265.42,0.1227,37857.94,2025-09-03T23:21:11.449560,False,1.397,,,,,,Long-haul,Average
121,Air New Zealand,NZ,,AKL,MEL,2025-09-04T08:50:00+00:00,2025-09-04T10:50:00+00:00,scheduled,aviationstack_api,2643.19,180,0.7968697790241969,321.07,0.1215,46053.18,2025-09-03T23:21:11.449560,False,1.384,,,,,,Long-haul,Average
525,Air New Zealand,NZ,,AKL,CHC,2025-09-04T08:30:00+00:00,2025-09-04T09:55:00+00:00,scheduled,aviationstack_api,744.36,180,0.8136058748727997,111.04,0.1492,16261.7,2025-09-03T23:21:11.449560,False,1.699,,,,,,Medium-haul,Poor
142,Qantas,QF,,AKL,SYD,2025-09-04T07:30:00+00:00,2025-09-04T09:15:00+00:00,scheduled,aviationstack_api,2163.92,180,0.7608040953572386,276.45,0.1278,37858.37,2025-09-03T23:21:11.449560,False,1.455,0.089,2023.0,Climate Action Plan,,,Long-haul,Average
5034,AlphaSky,AS,,AKL,SYD,2025-09-04T07:30:00+00:00,2025-09-04T09:15:00+00:00,scheduled,aviationstack_api,2163.92,180,0.7929506929361008,265.24,0.1226,37858.0,2025-09-03T23:21:11.449560,False,1.396,,,,,,Long-haul,Average
7272,American Airlines,AA,,AKL,SYD,2025-09-04T07:30:00+00:00,2025-09-04T09:15:00+00:00,scheduled,aviationstack_api,2163.92,180,0.8662039046280833,242.81,0.1122,37858.13,2025-09-03T23:21:11.449560,False,1.278,0.092,2023.0,ESG Report,,,Long-haul,Good
521,Air New Zealand,NZ,,AKL,CHC,2025-09-04T07:30:00+00:00,2025-09-04T08:55:00+00:00,scheduled,aviationstack_api,744.36,180,0.7807207924470473,115.72,0.1555,16262.1,2025-09-03T23:21:11.449560,False,1.771,,,,,,Medium-haul,Poor
7679,Virgin Atlantic,VS,,AKL,CHC,2025-09-04T07:30:00+00:00,2025-09-04T08:55:00+00:00,scheduled,aviationstack_api,744.36,180,0.8563416357828725,105.5,0.1417,16261.93,2025-09-03T23:21:11.449560,False,1.614,,,,,,Medium-haul,Poor
6791,United Airlines,UA,,AKL,CHC,2025-09-04T07:30:00+00:00,2025-09-04T08:55:00+00:00,scheduled,aviationstack_api,744.36,180,0.8618154980856508,104.83,0.1408,16261.94,2025-09-03T23:21:11.449560,False,1.604,0.089,2023.0,Sustainability Report,,,Medium-haul,Poor
8751,Turkish Airlines,TK,,AKL,CHC,2025-09-04T07:30:00+00:00,2025-09-04T08:55:00+00:00,scheduled,aviationstack_api,744.36,180,0.7854554701620162,115.02,0.1545,16261.76,2025-09-03T23:21:11.449560,False,1.76,,,,,,Medium-haul,Poor
4538,Etihad Airways,EY,,AKL,CHC,2025-09-04T07:30:00+00:00,2025-09-04T08:55:00+00:00,scheduled,aviationstack_api,744.36,180,0.8315304250005862,108.65,0.146,16262.24,2025-09-03T23:21:11.449560,False,1.663,,,,,,Medium-haul,Poor
5913,Air China LTD,CA,,AKL,CHC,2025-09-04T07:30:00+00:00,2025-09-04T08:55:00+00:00,scheduled,aviationstack_api,744.36,180,0.8420502179467633,107.29,0.1441,16261.84,2025-09-03T23:21:11.449560,False,1.641,,,,,,Medium-haul,Poor
3247,EVA Air,BR,,AKL,CHC,2025-09-04T07:30:00+00:00,2025-09-04T08:55:00+00:00,scheduled,aviationstack_api,744.36,180,0.7117230802817168,126.94,0.1705,16262.3,2025-09-03T23:21:11.449560,False,1.942,,,,,,Medium-haul,Poor
801,LATAM Airlines,LA,,AKL,SYD,2025-09-04T07:30:00+00:00,2025-09-04T09:35:00+00:00,scheduled,aviationstack_api,2163.92,180,0.7540396356739771,278.93,0.1289,37858.37,2025-09-03T23:21:11.449560,False,1.468,,,,,,Long-haul,Average
1969,China Eastern Airlines,MU,,AKL,SYD,2025-09-04T07:30:00+00:00,2025-09-04T09:35:00+00:00,scheduled,aviationstack_api,2163.92,180,0.8646606393685916,243.24,0.1124,37857.61,2025-09-03T23:21:11.449560,False,1.28,,,,,,Long-haul,Good
3876,Qantas,QF,,AKL,SYD,2025-09-04T07:30:00+00:00,2025-09-04T09:35:00+00:00,scheduled,aviationstack_api,2163.92,180,0.8447546723683999,248.97,0.1151,37857.34,2025-09-03T23:21:11.449560,False,1.311,0.089,2023.0,Climate Action Plan,,,Long-haul,Good
7801,Cathay Pacific,CX,,AKL,SYD,2025-09-04T07:30:00+00:00,2025-09-04T09:35:00+00:00,scheduled,aviationstack_api,2163.92,180,0.8704314761161355,241.63,0.1117,37858.02,2025-09-03T23:21:11.449560,False,1.272,0.083,2023.0,Sustainability Report,,,Long-haul,Good
9,Etihad Airways,EY,,AUH,ORD,2025-09-04T02:55:00+00:00,2025-09-04T08:45:00+00:00,scheduled,aviationstack_api,11709.19,180,0.8356379141229343,1200.89,0.1026,180631.66,2025-09-03T23:21:11.449560,False,1.168,,,,,,Ultra-long-haul,Excellent
711,Etihad Airways,EY,,AUH,CAI,2025-09-04T02:40:00+00:00,2025-09-04T05:30:00+00:00,scheduled,aviationstack_api,2381.42,180,0.8453052638135453,273.26,0.1147,41577.86,2025-09-03T23:21:11.449560,False,1.306,,,,,,Long-haul,Good
6364,ANA,NH,,AUH,CAI,2025-09-04T02:40:00+00:00,2025-09-04T05:30:00+00:00,scheduled,aviationstack_api,2381.42,180,0.8709451607984383,265.21,0.1114,41577.01,2025-09-03T23:21:11.449560,False,1.269,0.085,2023.0,ESG Report,,,Long-haul,Good
8073,EgyptAir,MS,,AUH,CAI,2025-09-04T02:40:00+00:00,2025-09-04T05:30:00+00:00,scheduled,aviationstack_api,2381.42,180,0.7786245818682958,296.66,0.1246,41577.62,2025-09-03T23:21:11.449560,False,1.419,,,,,,Long-haul,Average
9122,Garuda Indonesia,GA,,AUH,CAI,2025-09-04T02:40:00+00:00,2025-09-04T05:30:00+00:00,scheduled,aviationstack_api,2381.42,180,0.8712051305562104,265.13,0.1113,41576.87,2025-09-03T23:21:11.449560,False,1.268,,,,,,Long-haul,Good
212,Etihad Airways,EY,,AUH,DEL,2025-09-04T02:40:00+00:00,2025-09-04T07:55:00+00:00,scheduled,aviationstack_api,2280.96,180,0.897863064880405,246.63,0.1081,39859.19,2025-09-03T23:21:11.449560,False,1.231,,,,,,Long-haul,Good
1,Etihad Airways,EY,,AUH,JFK,2025-09-04T02:35:00+00:00,2025-09-04T09:00:00+00:00,scheduled,aviationstack_api,11051.24,180,0.8119560953683331,1166.63,0.1056,170505.42,2025-09-03T23:21:11.449560,False,1.203,,,,,,Ultra-long-haul,Excellent
177,Etihad Airways,EY,,AUH,CPH,2025-09-04T02:30:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,4856.97,180,0.7900042431145987,557.87,0.1149,79329.54,2025-09-03T23:21:11.449560,False,1.309,,,,,,Ultra-long-haul,Good
6528,SAS,SK,,AUH,CPH,2025-09-04T02:30:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,4856.97,180,0.8100266457145032,544.08,0.112,79329.47,2025-09-03T23:21:11.449560,False,1.276,,,,,,Ultra-long-haul,Good
6982,Asiana Airlines,OZ,,AUH,CPH,2025-09-04T02:30:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,4856.97,180,0.774501859565723,569.03,0.1172,79328.66,2025-09-03T23:21:11.449560,False,1.335,,,,,,Ultra-long-haul,Good
212,Etihad Airways,EY,,AUH,DEL,2025-09-04T02:40:00+00:00,2025-09-04T07:55:00+00:00,scheduled,aviationstack_api,2280.96,180,0.8995068107909303,246.18,0.1079,39859.31,2025-09-03T23:21:11.449560,False,1.229,,,,,,Long-haul,Good
1,Etihad Airways,EY,,AUH,JFK,2025-09-04T02:35:00+00:00,2025-09-04T09:00:00+00:00,scheduled,aviationstack_api,11051.24,180,0.8837180613926378,1071.9,0.097,170506.33,2025-09-03T23:21:11.449560,False,1.105,,,,,,Ultra-long-haul,Excellent
177,Etihad Airways,EY,,AUH,CPH,2025-09-04T02:30:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,4856.97,180,0.841037175173753,524.01,0.1079,79328.14,2025-09-03T23:21:11.449560,False,1.229,,,,,,Ultra-long-haul,Good
6528,SAS,SK,,AUH,CPH,2025-09-04T02:30:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,4856.97,180,0.8479239524073777,519.76,0.107,79329.05,2025-09-03T23:21:11.449560,False,1.219,,,,,,Ultra-long-haul,Excellent
6982,Asiana Airlines,OZ,,AUH,CPH,2025-09-04T02:30:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,4856.97,180,0.84552322293236,521.23,0.1073,79328.17,2025-09-03T23:21:11.455921,False,1.222,,,,,,Ultra-long-haul,Excellent
153,Etihad Airways,EY,,AUH,VIE,2025-09-04T02:30:00+00:00,2025-09-04T06:35:00+00:00,scheduled,aviationstack_api,4244.45,180,0.7752809411088202,497.16,0.1171,69378.96,2025-09-03T23:21:11.455921,False,1.334,,,,,,Ultra-long-haul,Good
8700,Air Serbia,JU,,AUH,VIE,2025-09-04T02:30:00+00:00,2025-09-04T06:35:00+00:00,scheduled,aviationstack_api,4244.45,180,0.8800842941954288,437.95,0.1032,69377.92,2025-09-03T23:21:11.456275,False,1.175,,,,,,Ultra-long-haul,Excellent
133,Etihad Airways,EY,,AUH,DUS,2025-09-04T02:30:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,5030.8,180,0.8557887247653863,533.31,0.106,82152.12,2025-09-03T23:21:11.456275,False,1.207,,,,,,Ultra-long-haul,Excellent
31,Etihad Airways,EY,,AUH,CDG,2025-09-04T02:30:00+00:00,2025-09-04T08:00:00+00:00,scheduled,aviationstack_api,5257.94,180,0.7910899111250217,602.84,0.1147,85842.12,2025-09-03T23:21:11.456275,False,1.306,,,,,,Ultra-long-haul,Good
651,Etihad Airways,EY,,AUH,KWI,2025-09-04T02:20:00+00:00,2025-09-04T03:10:00+00:00,scheduled,aviationstack_api,850.16,180,0.815340616992516,124.98,0.147,18342.23,2025-09-03T23:21:11.456275,False,1.674,,,,,,Medium-haul,Poor
200,Etihad Airways,EY,,AUH,BOM,2025-09-04T02:20:00+00:00,2025-09-04T07:05:00+00:00,scheduled,aviationstack_api,1972.71,180,0.8104882867606072,237.09,0.1202,34588.56,2025-09-03T23:21:11.456275,False,1.369,,,,,,Long-haul,Average
61,Etihad Airways,EY,,AUH,LHR,2025-09-04T02:20:00+00:00,2025-09-04T07:00:00+00:00,scheduled,aviationstack_api,5522.39,180,0.769845084520049,650.48,0.1178,90138.39,2025-09-03T23:21:11.456275,False,1.342,,,,,,Ultra-long-haul,Average
21,Etihad Airways,EY,,AUH,YYZ,2025-09-04T02:20:00+00:00,2025-09-04T09:00:00+00:00,scheduled,aviationstack_api,11142.33,180,0.851104564298,1122.12,0.1007,171907.46,2025-09-03T23:21:11.456275,False,1.147,,,,,,Ultra-long-haul,Excellent
757,Etihad Airways,EY,,AUH,CMN,2025-09-04T02:15:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,6063.41,180,0.753811091551188,729.09,0.1202,98927.3,2025-09-03T23:21:11.456275,False,1.369,,,,,,Ultra-long-haul,Average
543,Etihad Airways,EY,,AUH,IST,2025-09-04T02:15:00+00:00,2025-09-04T06:15:00+00:00,scheduled,aviationstack_api,3039.86,180,0.75946040207055,383.38,0.1261,52409.15,2025-09-03T23:21:11.456275,False,1.436,,,,,,Long-haul,Average
125,Etihad Airways,EY,,AUH,MUC,2025-09-04T02:15:00+00:00,2025-09-04T06:45:00+00:00,scheduled,aviationstack_api,4584.58,180,0.8905317928617268,467.29,0.1019,74904.59,2025-09-03T23:21:11.456275,False,1.161,,,,,,Ultra-long-haul,Excellent
111,Etihad Airways,EY,,AUH,BCN,2025-09-04T02:15:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,5174.84,180,0.7899164729642886,594.25,0.1148,84493.42,2025-09-03T23:21:11.456275,False,1.307,,,,,,Ultra-long-haul,Good
101,Etihad Airways,EY,,AUH,MAD,2025-09-04T02:15:00+00:00,2025-09-04T07:45:00+00:00,scheduled,aviationstack_api,5647.7,180,0.8513698898154848,601.48,0.1065,92174.75,2025-09-03T23:21:11.456275,False,1.213,,,,,,Ultra-long-haul,Excellent
747,Etihad Airways,EY,,AUH,JNB,2025-09-04T02:10:00+00:00,2025-09-04T08:20:00+00:00,scheduled,aviationstack_api,2661.58,180,0.8675356414794679,296.93,0.1116,46367.52,2025-09-03T23:21:11.456275,False,1.271,,,,,,Long-haul,Good
121,Etihad Airways,EY,,AUH,FRA,2025-09-04T02:10:00+00:00,2025-09-04T07:00:00+00:00,scheduled,aviationstack_api,4867.0,180,0.7885886233968443,560.01,0.1151,79491.15,2025-09-03T23:21:11.456275,False,1.311,,,,,,Ultra-long-haul,Good
85,Etihad Airways,EY,,AUH,FCO,2025-09-04T02:10:00+00:00,2025-09-04T06:15:00+00:00,scheduled,aviationstack_api,4344.67,180,0.8903681467624474,443.05,0.102,71005.97,2025-09-03T23:21:11.456275,False,1.162,,,,,,Ultra-long-haul,Excellent
81,Etihad Airways,EY,,AUH,MXP,2025-09-04T02:10:00+00:00,2025-09-04T06:40:00+00:00,scheduled,aviationstack_api,4719.26,180,0.752312858505773,569.3,0.1206,77092.51,2025-09-03T23:21:11.456275,False,1.373,,,,,,Ultra-long-haul,Average
551,Etihad Airways,EY,,AUH,RUH,2025-09-04T02:00:00+00:00,2025-09-04T02:45:00+00:00,scheduled,aviationstack_api,806.78,180,0.751059098766999,129.37,0.1604,17489.61,2025-09-03T23:21:11.456275,False,1.827,,,,,,Medium-haul,Poor
603,Etihad Airways,EY,,AUH,JED,2025-09-04T01:55:00+00:00,2025-09-04T03:55:00+00:00,scheduled,aviationstack_api,1615.94,180,0.8775976679651188,180.34,0.1116,28487.87,2025-09-03T23:21:11.456275,False,1.271,,,,,,Long-haul,Good
3313,flynas,XY,,AUH,JED,2025-09-04T01:55:00+00:00,2025-09-04T03:55:00+00:00,scheduled,aviationstack_api,1615.94,180,0.7267695950526486,217.76,0.1348,28487.04,2025-09-03T23:21:11.456275,False,1.535,,,,,,Long-haul,Average
6108,Saudia,SV,,AUH,JED,2025-09-04T01:55:00+00:00,2025-09-04T03:55:00+00:00,scheduled,aviationstack_api,1615.94,180,0.8024435492630934,197.23,0.1221,28487.87,2025-09-03T23:21:11.456275,False,1.391,,,,,,Long-haul,Average
6995,Asiana Airlines,OZ,,AUH,JED,2025-09-04T01:55:00+00:00,2025-09-04T03:55:00+00:00,scheduled,aviationstack_api,1615.94,180,0.8788206719324396,180.09,0.1114,28488.03,2025-09-03T23:21:11.456275,False,1.269,,,,,,Long-haul,Good
6370,ANA,NH,,AUH,JED,2025-09-04T01:55:00+00:00,2025-09-04T03:55:00+00:00,scheduled,aviationstack_api,1615.94,180,0.8276082199502618,191.23,0.1183,28487.43,2025-09-03T23:21:11.456275,False,1.347,0.085,2023.0,ESG Report,,,Long-haul,Average
121,Etihad Airways,EY,,AUH,FRA,2025-09-04T02:10:00+00:00,2025-09-04T07:00:00+00:00,scheduled,aviationstack_api,4867.0,180,0.7741730626361081,570.44,0.1172,79491.47,2025-09-03T23:21:11.456275,False,1.335,,,,,,Ultra-long-haul,Good
85,Etihad Airways,EY,,AUH,FCO,2025-09-04T02:10:00+00:00,2025-09-04T06:15:00+00:00,scheduled,aviationstack_api,4344.67,180,0.8948533780821181,440.83,0.1015,71006.08,2025-09-03T23:21:11.456275,False,1.156,,,,,,Ultra-long-haul,Excellent
81,Etihad Airways,EY,,AUH,MXP,2025-09-04T02:10:00+00:00,2025-09-04T06:40:00+00:00,scheduled,aviationstack_api,4719.26,180,0.7633065315658427,561.1,0.1189,77092.43,2025-09-03T23:21:11.456275,False,1.354,,,,,,Ultra-long-haul,Average
551,Etihad Airways,EY,,AUH,RUH,2025-09-04T02:00:00+00:00,2025-09-04T02:45:00+00:00,scheduled,aviationstack_api,806.78,180,0.8597830235959458,113.01,0.1401,17489.53,2025-09-03T23:21:11.456275,False,1.596,,,,,,Medium-haul,Average
603,Etihad Airways,EY,,AUH,JED,2025-09-04T01:55:00+00:00,2025-09-04T03:55:00+00:00,scheduled,aviationstack_api,1615.94,180,0.7537517504385735,209.97,0.1299,28487.75,2025-09-03T23:21:11.456275,False,1.479,,,,,,Long-haul,Average
3313,flynas,XY,,AUH,JED,2025-09-04T01:55:00+00:00,2025-09-04T03:55:00+00:00,scheduled,aviationstack_api,1615.94,180,0.8414571636274556,188.08,0.1164,28487.03,2025-09-03T23:21:11.456275,False,1.326,,,,,,Long-haul,Good
6108,Saudia,SV,,AUH,JED,2025-09-04T01:55:00+00:00,2025-09-04T03:55:00+00:00,scheduled,aviationstack_api,1615.94,180,0.7783016628290667,203.35,0.1258,28488.18,2025-09-03T23:21:11.456275,False,1.433,,,,,,Long-haul,Average
6995,Asiana Airlines,OZ,,AUH,JED,2025-09-04T01:55:00+00:00,2025-09-04T03:55:00+00:00,scheduled,aviationstack_api,1615.94,180,0.8671716949814037,182.51,0.1129,28488.15,2025-09-03T23:21:11.456275,False,1.286,,,,,,Long-haul,Good
6370,ANA,NH,,AUH,JED,2025-09-04T01:55:00+00:00,2025-09-04T03:55:00+00:00,scheduled,aviationstack_api,1615.94,180,0.8558098972716461,184.93,0.1144,28487.69,2025-09-03T23:21:11.456275,False,1.303,0.085,2023.0,ESG Report,,,Long-haul,Good
200,AirAsia,AK,,CGK,KUL,2025-09-04T05:00:00+00:00,2025-09-04T08:05:00+00:00,scheduled,aviationstack_api,664.28,180,0.7050879670844176,115.73,0.1742,14687.97,2025-09-03T23:21:11.456275,False,1.984,,,,,,Medium-haul,Poor
726,Malaysia Airlines,MH,,CGK,KUL,2025-09-04T04:15:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,664.28,180,0.8618831868778731,94.67,0.1425,14687.01,2025-09-03T23:21:11.456275,False,1.623,,,,,,Medium-haul,Poor
5726,Oman Air,WY,,CGK,KUL,2025-09-04T04:15:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,664.28,180,0.7142646496306599,114.24,0.172,14687.57,2025-09-03T23:21:11.456275,False,1.959,,,,,,Medium-haul,Poor
9276,Garuda Indonesia,GA,,CGK,KUL,2025-09-04T04:15:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,664.28,180,0.7309684164769176,111.63,0.168,14687.64,2025-09-03T23:21:11.456275,False,1.913,,,,,,Medium-haul,Poor
7392,Firefly,FY,,CGK,KUL,2025-09-04T04:15:00+00:00,2025-09-04T07:25:00+00:00,scheduled,aviationstack_api,664.28,180,0.7609859485254807,107.23,0.1614,14688.09,2025-09-03T23:21:11.456275,False,1.838,,,,,,Medium-haul,Poor
716,Garuda Indonesia,GA,,CGK,MEL,2025-09-04T01:55:00+00:00,2025-09-04T11:15:00+00:00,scheduled,aviationstack_api,5205.34,180,0.7828522736330938,603.12,0.1159,84987.7,2025-09-03T23:21:11.456275,False,1.32,,,,,,Ultra-long-haul,Good
6208,Saudia,SV,,CGK,MEL,2025-09-04T01:55:00+00:00,2025-09-04T11:15:00+00:00,scheduled,aviationstack_api,5205.34,180,0.8953357352332183,527.35,0.1013,84987.95,2025-09-03T23:21:11.456275,False,1.154,,,,,,Ultra-long-haul,Excellent
9776,China Airlines,CI,,CGK,MEL,2025-09-04T01:55:00+00:00,2025-09-04T11:15:00+00:00,scheduled,aviationstack_api,5205.34,180,0.8879231786022784,531.75,0.1022,84987.57,2025-09-03T23:21:11.456275,False,1.164,,,,,,Ultra-long-haul,Excellent
4050,KLM,KL,,CGK,MEL,2025-09-04T01:55:00+00:00,2025-09-04T11:15:00+00:00,scheduled,aviationstack_api,5205.34,180,0.8969572604050443,526.4,0.1011,84988.49,2025-09-03T23:21:11.456275,False,1.151,,,,,,Ultra-long-haul,Excellent
9374,Turkish Airlines,TK,,CGK,MEL,2025-09-04T01:55:00+00:00,2025-09-04T11:15:00+00:00,scheduled,aviationstack_api,5205.34,180,0.7595493734684908,621.63,0.1194,84988.56,2025-09-03T23:21:11.456275,False,1.36,,,,,,Ultra-long-haul,Average
5704,Oman Air,WY,,CGK,MEL,2025-09-04T01:55:00+00:00,2025-09-04T11:15:00+00:00,scheduled,aviationstack_api,5205.34,180,0.8975298807044326,526.06,0.1011,84987.82,2025-09-03T23:21:11.456275,False,1.151,,,,,,Ultra-long-haul,Excellent
8170,Etihad Airways,EY,,CGK,MEL,2025-09-04T01:55:00+00:00,2025-09-04T11:15:00+00:00,scheduled,aviationstack_api,5205.34,180,0.8535903424450662,553.14,0.1063,84987.89,2025-09-03T23:21:11.456275,False,1.211,,,,,,Ultra-long-haul,Excellent
978,Air China LTD,CA,,CGK,PEK,2025-09-04T01:45:00+00:00,2025-09-04T10:10:00+00:00,scheduled,aviationstack_api,3890.48,180,0.8200416119353875,453.6,0.1166,66954.76,2025-09-03T23:21:11.456275,False,1.328,,,,,,Long-haul,Good
134,Shandong Airlines,SC,,CGK,PEK,2025-09-04T01:45:00+00:00,2025-09-04T10:10:00+00:00,scheduled,aviationstack_api,3890.48,180,0.8977717170736791,414.33,0.1065,66955.28,2025-09-03T23:21:11.456275,False,1.213,,,,,,Long-haul,Excellent
955,Qatar Airways,QR,,CGK,DOH,2025-09-04T00:55:00+00:00,2025-09-04T05:20:00+00:00,scheduled,aviationstack_api,6219.84,180,0.8692580273177543,648.5,0.1043,101468.49,2025-09-03T23:21:11.456275,False,1.188,0.082,2023.0,Sustainability Report,,,Ultra-long-haul,Excellent
6282,Iberia,IB,,CGK,DOH,2025-09-04T00:55:00+00:00,2025-09-04T05:20:00+00:00,scheduled,aviationstack_api,6219.84,180,0.7683325010686697,733.69,0.118,101469.22,2025-09-03T23:21:11.456275,False,1.344,,,,,,Ultra-long-haul,Average
6395,British Airways,BA,,CGK,DOH,2025-09-04T00:55:00+00:00,2025-09-04T05:20:00+00:00,scheduled,aviationstack_api,6219.84,180,0.8086310226257706,697.12,0.1121,101468.31,2025-09-03T23:21:11.456275,False,1.277,0.09,2023.0,ESG Report,,,Ultra-long-haul,Good
